Transaction_date,Price,Product,City
01/01/2013,1742,Product1,Cairo
02/01/2013,1808,Product1,Cairo
03/01/2013,1887,Product1,Cairo
04/01/2013,1983,Product1,Cairo
05/01/2013,2087,Product1,Cairo
06/01/2013,2206,Product1,Cairo
07/01/2013,1496,Product1,Cairo
08/01/2013,1800,Product1,Cairo
09/01/2013,1786,Product1,Cairo
01/01/2013,1956,Product1,Cairo
11/01/2013,1989,Product1,Cairo
12/01/2013,2166,Product1,Cairo
13/01/2013,2258,Product1,Cairo
14/01/2013,1504,Product1,Cairo
15/01/2013,1766,Product1,Cairo
16/01/2013,1749,Product1,Cairo
17/01/2013,1826,Product1,Cairo
18/01/2013,2058,Product1,Cairo
19/01/2013,2125,Product1,Cairo
02/01/2013,2236,Product1,Cairo
21/01/2013,1546,Product1,Cairo
22/01/2013,1732,Product1,Cairo
23/01/2013,1744,Product1,Cairo
24/01/2013,1792,Product1,Cairo
25/01/2013,2062,Product1,Cairo
26/01/2013,2164,Product1,Cairo
27/01/2013,2289,Product1,Cairo
28/01/2013,1503,Product1,Cairo
29/01/2013,1748,Product1,Cairo
03/01/2013,1722,Product1,Cairo
31/01/2013,1790,Product1,Cairo
01/02/2013,2241,Product1,Cairo
02/02/2013,2488,Product1,Cairo
03/02/2013,2566,Product1,Cairo
04/02/2013,1655,Product1,Cairo
05/02/2013,1929,Product1,Cairo
06/02/2013,2004,Product1,Cairo
07/02/2013,2127,Product1,Cairo
08/02/2013,2172,Product1,Cairo
09/02/2013,2306,Product1,Cairo
01/02/2013,2578,Product1,Cairo
11/02/2013,1728,Product1,Cairo
12/02/2013,1940,Product1,Cairo
13/02/2013,1971,Product1,Cairo
14/02/2013,2055,Product1,Cairo
15/02/2013,2285,Product1,Cairo
16/02/2013,2449,Product1,Cairo
17/02/2013,2513,Product1,Cairo
18/02/2013,1648,Product1,Cairo
19/02/2013,1966,Product1,Cairo
02/02/2013,1917,Product1,Cairo
21/02/2013,2094,Product1,Cairo
22/02/2013,2275,Product1,Cairo
23/02/2013,2320,Product1,Cairo
24/02/2013,2563,Product1,Cairo
25/02/2013,1653,Product1,Cairo
26/02/2013,1942,Product1,Cairo
27/02/2013,1956,Product1,Cairo
28/02/2013,2043,Product1,Cairo
01/03/2013,2732,Product1,Cairo
02/03/2013,2905,Product1,Cairo
03/03/2013,3035,Product1,Cairo
04/03/2013,2023,Product1,Cairo
05/03/2013,2340,Product1,Cairo
06/03/2013,2390,Product1,Cairo
07/03/2013,2428,Product1,Cairo
08/03/2013,2653,Product1,Cairo
09/03/2013,2860,Product1,Cairo
01/03/2013,2980,Product1,Cairo
11/03/2013,1965,Product1,Cairo
12/03/2013,2302,Product1,Cairo
13/03/2013,2412,Product1,Cairo
14/03/2013,2423,Product1,Cairo
15/03/2013,2669,Product1,Cairo
16/03/2013,2801,Product1,Cairo
17/03/2013,3020,Product1,Cairo
18/03/2013,2025,Product1,Cairo
19/03/2013,2313,Product1,Cairo
02/03/2013,2337,Product1,Cairo
21/03/2013,2543,Product1,Cairo
22/03/2013,2706,Product1,Cairo
23/03/2013,2864,Product1,Cairo
24/03/2013,2977,Product1,Cairo
25/03/2013,1998,Product1,Cairo
26/03/2013,2430,Product1,Cairo
27/03/2013,2360,Product1,Cairo
28/03/2013,2588,Product1,Cairo
29/03/2013,2655,Product1,Cairo
03/03/2013,2875,Product1,Cairo
31/03/2013,3000,Product1,Cairo
01/04/2013,2471,Product1,Cairo
02/04/2013,2736,Product1,Cairo
03/04/2013,2719,Product1,Cairo
04/04/2013,2952,Product1,Cairo
05/04/2013,3077,Product1,Cairo
06/04/2013,3302,Product1,Cairo
07/04/2013,3414,Product1,Cairo
08/04/2013,2336,Product1,Cairo
09/04/2013,2779,Product1,Cairo
01/04/2013,2685,Product1,Cairo
11/04/2013,3036,Product1,Cairo
12/04/2013,3170,Product1,Cairo
13/04/2013,3250,Product1,Cairo
14/04/2013,3667,Product1,Cairo
15/04/2013,2284,Product1,Cairo
16/04/2013,2736,Product1,Cairo
17/04/2013,2684,Product1,Cairo
18/04/2013,2931,Product1,Cairo
19/04/2013,3119,Product1,Cairo
02/04/2013,3329,Product1,Cairo
21/04/2013,3566,Product1,Cairo
22/04/2013,2341,Product1,Cairo
23/04/2013,2773,Product1,Cairo
24/04/2013,2646,Product1,Cairo
25/04/2013,2907,Product1,Cairo
26/04/2013,3138,Product1,Cairo
27/04/2013,3309,Product1,Cairo
28/04/2013,3588,Product1,Cairo
29/04/2013,2347,Product1,Cairo
03/04/2013,2695,Product1,Cairo
01/05/2013,2971,Product1,Cairo
02/05/2013,3184,Product1,Cairo
03/05/2013,3379,Product1,Cairo
04/05/2013,3618,Product1,Cairo
05/05/2013,3814,Product1,Cairo
06/05/2013,2476,Product1,Cairo
07/05/2013,2942,Product1,Cairo
08/05/2013,2908,Product1,Cairo
09/05/2013,3088,Product1,Cairo
01/05/2013,3421,Product1,Cairo
11/05/2013,3549,Product1,Cairo
12/05/2013,3717,Product1,Cairo
13/05/2013,2474,Product1,Cairo
14/05/2013,2973,Product1,Cairo
15/05/2013,2953,Product1,Cairo
16/05/2013,3178,Product1,Cairo
17/05/2013,3301,Product1,Cairo
18/05/2013,3611,Product1,Cairo
19/05/2013,3720,Product1,Cairo
02/05/2013,2581,Product1,Cairo
21/05/2013,2828,Product1,Cairo
22/05/2013,2894,Product1,Cairo
23/05/2013,3130,Product1,Cairo
24/05/2013,3369,Product1,Cairo
25/05/2013,3576,Product1,Cairo
26/05/2013,3747,Product1,Cairo
27/05/2013,2472,Product1,Cairo
28/05/2013,3003,Product1,Cairo
29/05/2013,2980,Product1,Cairo
03/05/2013,3155,Product1,Cairo
31/05/2013,3349,Product1,Cairo
01/06/2013,3696,Product1,Cairo
02/06/2013,4164,Product1,Cairo
03/06/2013,2647,Product1,Cairo
04/06/2013,3100,Product1,Cairo
05/06/2013,3142,Product1,Cairo
06/06/2013,3363,Product1,Cairo
07/06/2013,3606,Product1,Cairo
08/06/2013,3770,Product1,Cairo
09/06/2013,3927,Product1,Cairo
01/06/2013,2653,Product1,Cairo
11/06/2013,3245,Product1,Cairo
12/06/2013,3172,Product1,Cairo
13/06/2013,3277,Product1,Cairo
14/06/2013,3502,Product1,Cairo
15/06/2013,3781,Product1,Cairo
16/06/2013,4039,Product1,Cairo
17/06/2013,2611,Product1,Cairo
18/06/2013,3064,Product1,Cairo
19/06/2013,3073,Product1,Cairo
02/06/2013,3339,Product1,Cairo
21/06/2013,3507,Product1,Cairo
22/06/2013,3775,Product1,Cairo
23/06/2013,4046,Product1,Cairo
24/06/2013,2690,Product1,Cairo
25/06/2013,3068,Product1,Cairo
26/06/2013,3152,Product1,Cairo
27/06/2013,3388,Product1,Cairo
28/06/2013,3564,Product1,Cairo
29/06/2013,3687,Product1,Cairo
03/06/2013,4110,Product1,Cairo
01/07/2013,2781,Product1,Cairo
02/07/2013,3290,Product1,Cairo
03/07/2013,3323,Product1,Cairo
04/07/2013,3535,Product1,Cairo
05/07/2013,3752,Product1,Cairo
06/07/2013,4038,Product1,Cairo
07/07/2013,4139,Product1,Cairo
08/07/2013,2811,Product1,Cairo
09/07/2013,3298,Product1,Cairo
01/07/2013,3231,Product1,Cairo
11/07/2013,3577,Product1,Cairo
12/07/2013,3759,Product1,Cairo
13/07/2013,4034,Product1,Cairo
14/07/2013,4194,Product1,Cairo
15/07/2013,2871,Product1,Cairo
16/07/2013,3291,Product1,Cairo
17/07/2013,3251,Product1,Cairo
18/07/2013,3485,Product1,Cairo
19/07/2013,3845,Product1,Cairo
02/07/2013,4041,Product1,Cairo
21/07/2013,4174,Product1,Cairo
22/07/2013,2861,Product1,Cairo
23/07/2013,3319,Product1,Cairo
24/07/2013,3369,Product1,Cairo
25/07/2013,3653,Product1,Cairo
26/07/2013,3858,Product1,Cairo
27/07/2013,4130,Product1,Cairo
28/07/2013,4206,Product1,Cairo
29/07/2013,2859,Product1,Cairo
03/07/2013,3298,Product1,Cairo
31/07/2013,3372,Product1,Cairo
01/08/2013,3120,Product1,Cairo
02/08/2013,3344,Product1,Cairo
03/08/2013,3513,Product1,Cairo
04/08/2013,3714,Product1,Cairo
05/08/2013,2428,Product1,Cairo
06/08/2013,2838,Product1,Cairo
07/08/2013,2817,Product1,Cairo
08/08/2013,3200,Product1,Cairo
09/08/2013,3300,Product1,Cairo
01/08/2013,3518,Product1,Cairo
11/08/2013,3818,Product1,Cairo
12/08/2013,2488,Product1,Cairo
13/08/2013,2825,Product1,Cairo
14/08/2013,2951,Product1,Cairo
15/08/2013,3075,Product1,Cairo
16/08/2013,3339,Product1,Cairo
17/08/2013,3512,Product1,Cairo
18/08/2013,3802,Product1,Cairo
19/08/2013,2557,Product1,Cairo
02/08/2013,2912,Product1,Cairo
21/08/2013,2821,Product1,Cairo
22/08/2013,3072,Product1,Cairo
23/08/2013,3304,Product1,Cairo
24/08/2013,3632,Product1,Cairo
25/08/2013,3706,Product1,Cairo
26/08/2013,2488,Product1,Cairo
27/08/2013,2943,Product1,Cairo
28/08/2013,2971,Product1,Cairo
29/08/2013,3111,Product1,Cairo
03/08/2013,3328,Product1,Cairo
31/08/2013,3545,Product1,Cairo
01/09/2013,3530,Product1,Cairo
02/09/2013,2363,Product1,Cairo
03/09/2013,2845,Product1,Cairo
04/09/2013,2729,Product1,Cairo
05/09/2013,2978,Product1,Cairo
06/09/2013,3088,Product1,Cairo
07/09/2013,3243,Product1,Cairo
08/09/2013,3514,Product1,Cairo
09/09/2013,2350,Product1,Cairo
01/09/2013,2771,Product1,Cairo
11/09/2013,2740,Product1,Cairo
12/09/2013,2849,Product1,Cairo
13/09/2013,3091,Product1,Cairo
14/09/2013,3256,Product1,Cairo
15/09/2013,3561,Product1,Cairo
16/09/2013,2322,Product1,Cairo
17/09/2013,2679,Product1,Cairo
18/09/2013,2677,Product1,Cairo
19/09/2013,2988,Product1,Cairo
02/09/2013,3178,Product1,Cairo
21/09/2013,3338,Product1,Cairo
22/09/2013,3473,Product1,Cairo
23/09/2013,2388,Product1,Cairo
24/09/2013,2752,Product1,Cairo
25/09/2013,2727,Product1,Cairo
26/09/2013,2969,Product1,Cairo
27/09/2013,3090,Product1,Cairo
28/09/2013,3258,Product1,Cairo
29/09/2013,3561,Product1,Cairo
03/09/2013,2365,Product1,Cairo
01/10/2013,2487,Product1,Cairo
02/10/2013,2589,Product1,Cairo
03/10/2013,2732,Product1,Cairo
04/10/2013,2854,Product1,Cairo
05/10/2013,3105,Product1,Cairo
06/10/2013,3178,Product1,Cairo
07/10/2013,2197,Product1,Cairo
08/10/2013,2517,Product1,Cairo
09/10/2013,2582,Product1,Cairo
01/10/2013,2713,Product1,Cairo
11/10/2013,2823,Product1,Cairo
12/10/2013,3074,Product1,Cairo
13/10/2013,3173,Product1,Cairo
14/10/2013,2164,Product1,Cairo
15/10/2013,2582,Product1,Cairo
16/10/2013,2521,Product1,Cairo
17/10/2013,2698,Product1,Cairo
18/10/2013,2795,Product1,Cairo
19/10/2013,3098,Product1,Cairo
02/10/2013,3213,Product1,Cairo
21/10/2013,2195,Product1,Cairo
22/10/2013,2515,Product1,Cairo
23/10/2013,2568,Product1,Cairo
24/10/2013,2706,Product1,Cairo
25/10/2013,2865,Product1,Cairo
26/10/2013,3010,Product1,Cairo
27/10/2013,3155,Product1,Cairo
28/10/2013,2130,Product1,Cairo
29/10/2013,2574,Product1,Cairo
03/10/2013,2585,Product1,Cairo
31/10/2013,2695,Product1,Cairo
01/11/2013,3052,Product1,Cairo
02/11/2013,3258,Product1,Cairo
03/11/2013,3484,Product1,Cairo
04/11/2013,2359,Product1,Cairo
05/11/2013,2751,Product1,Cairo
06/11/2013,2626,Product1,Cairo
07/11/2013,2889,Product1,Cairo
08/11/2013,3179,Product1,Cairo
09/11/2013,3432,Product1,Cairo
01/11/2013,3512,Product1,Cairo
11/11/2013,2293,Product1,Cairo
12/11/2013,2714,Product1,Cairo
13/11/2013,2715,Product1,Cairo
14/11/2013,2916,Product1,Cairo
15/11/2013,3103,Product1,Cairo
16/11/2013,3346,Product1,Cairo
17/11/2013,3585,Product1,Cairo
18/11/2013,2418,Product1,Cairo
19/11/2013,2833,Product1,Cairo
02/11/2013,2730,Product1,Cairo
21/11/2013,2888,Product1,Cairo
22/11/2013,3051,Product1,Cairo
23/11/2013,3292,Product1,Cairo
24/11/2013,3444,Product1,Cairo
25/11/2013,2319,Product1,Cairo
26/11/2013,2764,Product1,Cairo
27/11/2013,2790,Product1,Cairo
28/11/2013,2884,Product1,Cairo
29/11/2013,3019,Product1,Cairo
03/11/2013,3228,Product1,Cairo
01/12/2013,2515,Product1,Cairo
02/12/2013,1770,Product1,Cairo
03/12/2013,1946,Product1,Cairo
04/12/2013,1926,Product1,Cairo
05/12/2013,2080,Product1,Cairo
06/12/2013,2183,Product1,Cairo
07/12/2013,2394,Product1,Cairo
08/12/2013,2379,Product1,Cairo
09/12/2013,1563,Product1,Cairo
01/12/2013,1932,Product1,Cairo
11/12/2013,2021,Product1,Cairo
12/12/2013,2120,Product1,Cairo
13/12/2013,2209,Product1,Cairo
14/12/2013,2322,Product1,Cairo
15/12/2013,2512,Product1,Cairo
16/12/2013,1731,Product1,Cairo
17/12/2013,1869,Product1,Cairo
18/12/2013,1940,Product1,Cairo
19/12/2013,2096,Product1,Cairo
02/12/2013,2234,Product1,Cairo
21/12/2013,2421,Product1,Cairo
22/12/2013,2547,Product1,Cairo
23/12/2013,1699,Product1,Cairo
24/12/2013,1941,Product1,Cairo
25/12/2013,1977,Product1,Cairo
26/12/2013,2094,Product1,Cairo
27/12/2013,2143,Product1,Cairo
28/12/2013,2368,Product1,Cairo
29/12/2013,2393,Product1,Cairo
03/12/2013,1663,Product1,Cairo
31/12/2013,1954,Product1,Cairo
01/01/2014,1937,Product1,Cairo
02/01/2014,2167,Product1,Cairo
03/01/2014,2355,Product1,Cairo
04/01/2014,2475,Product1,Cairo
05/01/2014,2545,Product1,Cairo
06/01/2014,1695,Product1,Cairo
07/01/2014,2009,Product1,Cairo
08/01/2014,1966,Product1,Cairo
09/01/2014,2227,Product1,Cairo
01/01/2014,2280,Product1,Cairo
11/01/2014,2375,Product1,Cairo
12/01/2014,2539,Product1,Cairo
13/01/2014,1745,Product1,Cairo
14/01/2014,1987,Product1,Cairo
15/01/2014,1970,Product1,Cairo
16/01/2014,2079,Product1,Cairo
17/01/2014,2322,Product1,Cairo
18/01/2014,2453,Product1,Cairo
19/01/2014,2572,Product1,Cairo
02/01/2014,1777,Product1,Cairo
21/01/2014,1975,Product1,Cairo
22/01/2014,1982,Product1,Cairo
23/01/2014,2161,Product1,Cairo
24/01/2014,2343,Product1,Cairo
25/01/2014,2538,Product1,Cairo
26/01/2014,2565,Product1,Cairo
27/01/2014,1711,Product1,Cairo
28/01/2014,2076,Product1,Cairo
29/01/2014,2042,Product1,Cairo
03/01/2014,2160,Product1,Cairo
31/01/2014,2287,Product1,Cairo
01/02/2014,2773,Product1,Cairo
02/02/2014,2947,Product1,Cairo
03/02/2014,1880,Product1,Cairo
04/02/2014,2214,Product1,Cairo
05/02/2014,2214,Product1,Cairo
06/02/2014,2335,Product1,Cairo
07/02/2014,2600,Product1,Cairo
08/02/2014,2751,Product1,Cairo
09/02/2014,2967,Product1,Cairo
01/02/2014,1856,Product1,Cairo
11/02/2014,2217,Product1,Cairo
12/02/2014,2197,Product1,Cairo
13/02/2014,2404,Product1,Cairo
14/02/2014,2502,Product1,Cairo
15/02/2014,2675,Product1,Cairo
16/02/2014,2836,Product1,Cairo
17/02/2014,1954,Product1,Cairo
18/02/2014,2224,Product1,Cairo
19/02/2014,2218,Product1,Cairo
02/02/2014,2384,Product1,Cairo
21/02/2014,2598,Product1,Cairo
22/02/2014,2648,Product1,Cairo
23/02/2014,2826,Product1,Cairo
24/02/2014,1911,Product1,Cairo
25/02/2014,2350,Product1,Cairo
26/02/2014,2302,Product1,Cairo
27/02/2014,2332,Product1,Cairo
28/02/2014,2490,Product1,Cairo
01/03/2014,3312,Product1,Cairo
02/03/2014,3545,Product1,Cairo
03/03/2014,2310,Product1,Cairo
04/03/2014,2746,Product1,Cairo
05/03/2014,2647,Product1,Cairo
06/03/2014,2867,Product1,Cairo
07/03/2014,3039,Product1,Cairo
08/03/2014,3270,Product1,Cairo
09/03/2014,3488,Product1,Cairo
01/03/2014,2237,Product1,Cairo
11/03/2014,2707,Product1,Cairo
12/03/2014,2705,Product1,Cairo
13/03/2014,2831,Product1,Cairo
14/03/2014,3082,Product1,Cairo
15/03/2014,3329,Product1,Cairo
16/03/2014,3414,Product1,Cairo
17/03/2014,2277,Product1,Cairo
18/03/2014,2724,Product1,Cairo
19/03/2014,2700,Product1,Cairo
02/03/2014,2931,Product1,Cairo
21/03/2014,2993,Product1,Cairo
22/03/2014,3284,Product1,Cairo
23/03/2014,3449,Product1,Cairo
24/03/2014,2250,Product1,Cairo
25/03/2014,2609,Product1,Cairo
26/03/2014,2669,Product1,Cairo
27/03/2014,2854,Product1,Cairo
28/03/2014,3133,Product1,Cairo
29/03/2014,3279,Product1,Cairo
03/03/2014,3576,Product1,Cairo
31/03/2014,2290,Product1,Cairo
01/04/2014,3063,Product1,Cairo
02/04/2014,3135,Product1,Cairo
03/04/2014,3326,Product1,Cairo
04/04/2014,3505,Product1,Cairo
05/04/2014,3852,Product1,Cairo
06/04/2014,4084,Product1,Cairo
07/04/2014,2726,Product1,Cairo
08/04/2014,3160,Product1,Cairo
09/04/2014,3198,Product1,Cairo
01/04/2014,3319,Product1,Cairo
11/04/2014,3572,Product1,Cairo
12/04/2014,3902,Product1,Cairo
13/04/2014,4104,Product1,Cairo
14/04/2014,2679,Product1,Cairo
15/04/2014,3207,Product1,Cairo
16/04/2014,3137,Product1,Cairo
17/04/2014,3494,Product1,Cairo
18/04/2014,3524,Product1,Cairo
19/04/2014,3813,Product1,Cairo
02/04/2014,3904,Product1,Cairo
21/04/2014,2706,Product1,Cairo
22/04/2014,3161,Product1,Cairo
23/04/2014,3130,Product1,Cairo
24/04/2014,3350,Product1,Cairo
25/04/2014,3567,Product1,Cairo
26/04/2014,3751,Product1,Cairo
27/04/2014,4096,Product1,Cairo
28/04/2014,2794,Product1,Cairo
29/04/2014,3149,Product1,Cairo
03/04/2014,3056,Product1,Cairo
01/05/2014,3709,Product1,Cairo
02/05/2014,3900,Product1,Cairo
03/05/2014,4031,Product1,Cairo
04/05/2014,4295,Product1,Cairo
05/05/2014,2942,Product1,Cairo
06/05/2014,3468,Product1,Cairo
07/05/2014,3405,Product1,Cairo
08/05/2014,3614,Product1,Cairo
09/05/2014,3770,Product1,Cairo
01/05/2014,4017,Product1,Cairo
11/05/2014,4323,Product1,Cairo
12/05/2014,2993,Product1,Cairo
13/05/2014,3340,Product1,Cairo
14/05/2014,3267,Product1,Cairo
15/05/2014,3571,Product1,Cairo
16/05/2014,3749,Product1,Cairo
17/05/2014,4104,Product1,Cairo
18/05/2014,4258,Product1,Cairo
19/05/2014,2930,Product1,Cairo
02/05/2014,3294,Product1,Cairo
21/05/2014,3389,Product1,Cairo
22/05/2014,3581,Product1,Cairo
23/05/2014,3784,Product1,Cairo
24/05/2014,4120,Product1,Cairo
25/05/2014,4302,Product1,Cairo
26/05/2014,2840,Product1,Cairo
27/05/2014,3415,Product1,Cairo
28/05/2014,3444,Product1,Cairo
29/05/2014,3600,Product1,Cairo
03/05/2014,3757,Product1,Cairo
31/05/2014,4057,Product1,Cairo
01/06/2014,4606,Product1,Cairo
02/06/2014,3096,Product1,Cairo
03/06/2014,3552,Product1,Cairo
04/06/2014,3525,Product1,Cairo
05/06/2014,3731,Product1,Cairo
06/06/2014,4194,Product1,Cairo
07/06/2014,4210,Product1,Cairo
08/06/2014,4587,Product1,Cairo
09/06/2014,3034,Product1,Cairo
01/06/2014,3627,Product1,Cairo
11/06/2014,3615,Product1,Cairo
12/06/2014,3870,Product1,Cairo
13/06/2014,4091,Product1,Cairo
14/06/2014,4386,Product1,Cairo
15/06/2014,4696,Product1,Cairo
16/06/2014,3147,Product1,Cairo
17/06/2014,3611,Product1,Cairo
18/06/2014,3621,Product1,Cairo
19/06/2014,3880,Product1,Cairo
02/06/2014,4136,Product1,Cairo
21/06/2014,4414,Product1,Cairo
22/06/2014,4501,Product1,Cairo
23/06/2014,3027,Product1,Cairo
24/06/2014,3591,Product1,Cairo
25/06/2014,3603,Product1,Cairo
26/06/2014,3981,Product1,Cairo
27/06/2014,4084,Product1,Cairo
28/06/2014,4407,Product1,Cairo
29/06/2014,4644,Product1,Cairo
03/06/2014,3023,Product1,Cairo
01/07/2014,3784,Product1,Cairo
02/07/2014,3873,Product1,Cairo
03/07/2014,4040,Product1,Cairo
04/07/2014,4358,Product1,Cairo
05/07/2014,4545,Product1,Cairo
06/07/2014,4985,Product1,Cairo
07/07/2014,3272,Product1,Cairo
08/07/2014,3808,Product1,Cairo
09/07/2014,3908,Product1,Cairo
01/07/2014,4147,Product1,Cairo
11/07/2014,4428,Product1,Cairo
12/07/2014,4621,Product1,Cairo
13/07/2014,4791,Product1,Cairo
14/07/2014,3262,Product1,Cairo
15/07/2014,3910,Product1,Cairo
16/07/2014,3749,Product1,Cairo
17/07/2014,4125,Product1,Cairo
18/07/2014,4433,Product1,Cairo
19/07/2014,4593,Product1,Cairo
02/07/2014,4814,Product1,Cairo
21/07/2014,3201,Product1,Cairo
22/07/2014,3773,Product1,Cairo
23/07/2014,3699,Product1,Cairo
24/07/2014,4081,Product1,Cairo
25/07/2014,4377,Product1,Cairo
26/07/2014,4556,Product1,Cairo
27/07/2014,4895,Product1,Cairo
28/07/2014,3235,Product1,Cairo
29/07/2014,3764,Product1,Cairo
03/07/2014,3896,Product1,Cairo
31/07/2014,4101,Product1,Cairo
01/08/2014,3849,Product1,Cairo
02/08/2014,4114,Product1,Cairo
03/08/2014,4291,Product1,Cairo
04/08/2014,2929,Product1,Cairo
05/08/2014,3316,Product1,Cairo
06/08/2014,3346,Product1,Cairo
07/08/2014,3608,Product1,Cairo
08/08/2014,3759,Product1,Cairo
09/08/2014,3997,Product1,Cairo
01/08/2014,4230,Product1,Cairo
11/08/2014,2889,Product1,Cairo
12/08/2014,3428,Product1,Cairo
13/08/2014,3350,Product1,Cairo
14/08/2014,3538,Product1,Cairo
15/08/2014,3762,Product1,Cairo
16/08/2014,3955,Product1,Cairo
17/08/2014,4405,Product1,Cairo
18/08/2014,2870,Product1,Cairo
19/08/2014,3339,Product1,Cairo
02/08/2014,3325,Product1,Cairo
21/08/2014,3618,Product1,Cairo
22/08/2014,3711,Product1,Cairo
23/08/2014,3996,Product1,Cairo
24/08/2014,4296,Product1,Cairo
25/08/2014,2806,Product1,Cairo
26/08/2014,3337,Product1,Cairo
27/08/2014,3338,Product1,Cairo
28/08/2014,3566,Product1,Cairo
29/08/2014,3873,Product1,Cairo
03/08/2014,4031,Product1,Cairo
